uri	embedding_dim	emb_0	emb_1	emb_2	emb_3	emb_4	embedding_norm
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876	128	0.075252354	0.03553642	-0.10165866	0.08652095	-0.10172831	1.0
http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203	128	-0.027917923	0.12828824	0.11384178	0.12832436	-0.11275709	0.9999999
http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe	128	-0.098153375	-0.04678001	-0.0635859	0.110884584	-0.09505798	1.0
http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8	128	-0.098532625	0.08651791	-0.05938651	0.09658301	0.049357556	1.0
http://data.europa.eu/esco/skill/00d5d1d2-c521-4c58-9df5-2939c0ce9adb	128	-0.06178782	-0.08054273	-0.080542944	-0.08145173	0.026951443	1.0
http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce	128	-0.00029895038	-0.034529604	-0.12391976	0.120692834	0.1100972	1.0
http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8	128	-0.11763551	-0.04460311	-0.10201106	-0.044592116	-0.06335967	1.0
http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00	128	-0.07199844	-0.0540063	-0.057034075	0.11474744	-0.07637407	1.0
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982	128	-0.10604884	-0.09922868	-0.058274202	-0.03923793	-0.14441541	1.0
http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000	128	-0.098031566	-0.055853922	-0.112762585	-0.03945439	0.15044837	0.99999994
http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696	128	0.034309074	0.059520524	0.03548881	-0.09928862	0.05804488	1.0000001
http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a	128	-0.109132566	0.09856871	-0.07020965	0.11395786	0.06673974	1.0
http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d	128	0.043726757	0.12161466	-0.097272694	0.11532846	-0.06887072	1.0
http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681	128	-0.10189554	-0.07482325	-0.0763763	-0.012401098	-0.091484495	1.0
http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d	128	0.08130494	0.11267235	0.0031990116	0.1287919	-0.084858745	1.0
http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a	128	-0.12203609	-0.040783167	-0.077677205	0.12171946	0.016190583	0.99999994
http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf	128	-0.13651346	0.06917439	0.023546314	0.06276777	-0.035519447	1.0
http://data.europa.eu/esco/skill/0101f8a4-4243-4e67-813b-3e2a6274f7e2	128	-0.27754733	-0.021769224	-0.02166278	-0.021036	0.2135603	1.0
http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc	128	0.05587348	-0.1008877	-0.1019192	0.06742997	-0.10992249	1.0
http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc	128	-0.05826779	0.10679105	-0.09797417	0.10688744	0.048526287	0.99999994
http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e	128	0.007939085	-0.007935757	-0.011892886	0.022839505	-0.008788878	1.0
http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f	128	-0.091592595	0.086353615	-0.090685	0.09167488	0.08426942	1.0
http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517	128	-0.1101019	0.10999915	-0.050107013	0.10985752	0.050070472	1.0
http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443	128	-0.106642686	0.061022177	-0.09024811	0.26131016	-0.02089625	1.0
http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73	128	0.046669975	0.12396221	-0.09859256	0.08894332	-0.06780999	1.0
